taz_id,vid,walk_time
5101,2307.0,5.083333333333333
5102,2279.0,6.55
5103,1157.0,4.1
5104,1156.0,5.466666666666668
5105,2063.0,7.8
5202,745.0,7.85
5106,1704.0,9.1
5107,2279.0,9.266666666666667
5108,1697.0,4.383333333333334
5109,266.0,11.433333333333335
5110,2555.0,5.066666666666666
5111,2271.0,11.866666666666667
5112,2320.0,6.166666666666668
5113,1375.0,25.05
5114,1858.0,63.45
5115,1540.0,8.883333333333333
5116,1321.0,4.583333333333333
5117,2555.0,8.533333333333333
5118,1421.0,5.916666666666668
5201,1596.0,11.616666666666667
5203,90.0,5.966666666666668
5204,1532.0,5.933333333333334
5205,2393.0,12.316666666666665
5206,2811.0,7.0
5207,91.0,8.183333333333334
5208,2393.0,8.2
5210,1228.0,12.866666666666667
5211,393.0,5.25
5301,1603.0,4.083333333333333
5302,2785.0,12.183333333333335
5303,2095.0,11.733333333333333
5304,2095.0,10.583333333333334
5305,2095.0,14.016666666666667
5701,1203.0,3.216666666666667
5702,636.0,15.833333333333336
5717,1527.0,7.7666666666666675
